Year,Country,Winner,Runners-Up,Third,Fourth,QualifiedTeams,MatchesPlayed
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,13,18
1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,19
1938,France,Italy,Hungary,Brazil,Sweden,17,20
1950,Brazil,Uruguay,Brazil,Sweden,Spain,18,21
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,19,22
1958,Sweden,Brazil,Sweden,France,Germany FR,20,23
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,21,24
1966,England,England,Germany FR,Portugal,Soviet Union,22,25
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,23,26
1974,Germany,Germany FR,Netherlands,Poland,Brazil,24,27
1978,Argentina,Argentina,Netherlands,Brazil,Italy,25,28
1982,Spain,Italy,Germany FR,Poland,France,26,29
1986,Mexico,Argentina,Germany FR,France,Belgium,27,30
1990,Italy,Germany FR,Argentina,Italy,England,28,31
1994,USA,Brazil,Italy,Sweden,Bulgaria,29,32
1998,France,France,Brazil,Croatia,Netherlands,30,33
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,31,34
2006,Germany,Italy,France,Germany,Portugal,32,35
2010,South Africa,Spain,Netherlands,Germany,Uruguay,33,36
2014,Brazil,Germany,Argentina,Netherlands,Brazil,34,37
2018,Russia,France,Croatia,Belgium,England,35,38
